problem,problem_display,scale,algorithm,variant,t_aco,evaluations,avg_obj,instances,device,source
rcpsp,RCPSP,60,DeepACO,Elitist,10,200,90.46,100,cpu,pretrained
rcpsp,RCPSP,60,DeepACO,Elitist,20,400,89.49,100,cpu,pretrained
rcpsp,RCPSP,60,DeepACO,Elitist,30,600,88.88,100,cpu,pretrained
rcpsp,RCPSP,60,DeepACO,Elitist,40,800,88.35,100,cpu,pretrained
rcpsp,RCPSP,60,DeepACO,Elitist,50,1000,88.25,100,cpu,pretrained
rcpsp,RCPSP,60,DeepACO,Elitist,100,2000,87.24,100,cpu,pretrained
rcpsp,RCPSP,60,ACO,MAX-MIN,1,20,99.34,100,cpu,pretrained
rcpsp,RCPSP,60,ACO,MAX-MIN,10,200,93.57,100,cpu,pretrained
rcpsp,RCPSP,60,ACO,MAX-MIN,20,400,92.6,100,cpu,pretrained
rcpsp,RCPSP,60,ACO,MAX-MIN,30,600,92.04,100,cpu,pretrained
rcpsp,RCPSP,60,ACO,MAX-MIN,40,800,91.82,100,cpu,pretrained
rcpsp,RCPSP,60,ACO,MAX-MIN,50,1000,91.54,100,cpu,pretrained
rcpsp,RCPSP,60,ACO,MAX-MIN,100,2000,90.49,100,cpu,pretrained
rcpsp,RCPSP,60,DeepACO,MAX-MIN,1,20,95.53,100,cpu,pretrained
rcpsp,RCPSP,60,DeepACO,MAX-MIN,10,200,90.9,100,cpu,pretrained
rcpsp,RCPSP,60,DeepACO,MAX-MIN,20,400,90.01,100,cpu,pretrained
rcpsp,RCPSP,60,DeepACO,MAX-MIN,30,600,89.2,100,cpu,pretrained
rcpsp,RCPSP,60,DeepACO,MAX-MIN,40,800,88.53,100,cpu,pretrained
rcpsp,RCPSP,60,DeepACO,MAX-MIN,50,1000,88.22,100,cpu,pretrained
rcpsp,RCPSP,60,DeepACO,MAX-MIN,100,2000,87.38,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,AS,1,20,193.27,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,AS,10,200,185.72,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,AS,20,400,184.19,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,AS,30,600,183.59,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,AS,40,800,183.01,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,AS,50,1000,182.75,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,AS,100,2000,182.54,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,AS,1,20,184.81,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,AS,10,200,178.15,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,AS,20,400,175.52,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,AS,30,600,174.37,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,AS,40,800,173.88,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,AS,50,1000,173.42,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,AS,100,2000,172.0,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,Elitist,1,20,193.27,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,Elitist,10,200,185.47,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,Elitist,20,400,183.98,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,Elitist,30,600,182.58,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,Elitist,40,800,182.12,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,Elitist,50,1000,181.55,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,Elitist,100,2000,180.27,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,Elitist,1,20,184.81,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,Elitist,10,200,177.6,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,Elitist,20,400,176.01,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,Elitist,30,600,175.03,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,Elitist,40,800,174.42,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,Elitist,50,1000,173.8,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,Elitist,100,2000,171.75,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,MAX-MIN,1,20,193.27,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,MAX-MIN,10,200,185.62,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,MAX-MIN,20,400,183.76,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,MAX-MIN,30,600,182.82,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,MAX-MIN,40,800,181.78,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,MAX-MIN,50,1000,181.1,100,cpu,pretrained
rcpsp,RCPSP,120,ACO,MAX-MIN,100,2000,179.65,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,MAX-MIN,1,20,184.81,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,MAX-MIN,10,200,177.54,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,MAX-MIN,20,400,175.87,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,MAX-MIN,30,600,174.8,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,MAX-MIN,40,800,174.33,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,MAX-MIN,50,1000,173.83,100,cpu,pretrained
rcpsp,RCPSP,120,DeepACO,MAX-MIN,100,2000,172.21,100,cpu,pretrained
