problem,problem_display,scale,algorithm,variant,t_aco,evaluations,avg_obj,instances,device,source
sop,SOP,50,DeepACO,Elitist,20,400,33.91366792678833,100,cpu,pretrained
sop,SOP,50,DeepACO,Elitist,30,600,33.73148319244385,100,cpu,pretrained
sop,SOP,50,DeepACO,Elitist,40,800,33.60709995269775,100,cpu,pretrained
sop,SOP,50,DeepACO,Elitist,50,1000,33.45969842910767,100,cpu,pretrained
sop,SOP,50,DeepACO,Elitist,100,2000,33.30076940536499,100,cpu,pretrained
sop,SOP,50,ACO,MAX-MIN,1,20,42.01288421630859,100,cpu,pretrained
sop,SOP,50,ACO,MAX-MIN,10,200,40.42480026245117,100,cpu,pretrained
sop,SOP,50,ACO,MAX-MIN,20,400,39.933089103698734,100,cpu,pretrained
sop,SOP,50,ACO,MAX-MIN,30,600,39.598201484680175,100,cpu,pretrained
sop,SOP,50,ACO,MAX-MIN,40,800,39.45308414459228,100,cpu,pretrained
sop,SOP,50,ACO,MAX-MIN,50,1000,39.40508796691895,100,cpu,pretrained
sop,SOP,50,ACO,MAX-MIN,100,2000,39.16609817504883,100,cpu,pretrained
sop,SOP,50,DeepACO,MAX-MIN,1,20,35.18131443023682,100,cpu,pretrained
sop,SOP,50,DeepACO,MAX-MIN,10,200,34.219423389434816,100,cpu,pretrained
sop,SOP,50,DeepACO,MAX-MIN,20,400,33.95465078353882,100,cpu,pretrained
sop,SOP,50,DeepACO,MAX-MIN,30,600,33.79178569793701,100,cpu,pretrained
sop,SOP,50,DeepACO,MAX-MIN,40,800,33.702234725952145,100,cpu,pretrained
sop,SOP,50,DeepACO,MAX-MIN,50,1000,33.66848190307617,100,cpu,pretrained
sop,SOP,50,DeepACO,MAX-MIN,100,2000,33.50757465362549,100,cpu,pretrained
sop,SOP,100,ACO,AS,1,20,87.67262428283692,100,cpu,pretrained
sop,SOP,100,ACO,AS,10,200,85.09672676086426,100,cpu,pretrained
sop,SOP,100,ACO,AS,20,400,84.0546263885498,100,cpu,pretrained
sop,SOP,100,ACO,AS,30,600,83.51504760742188,100,cpu,pretrained
sop,SOP,100,ACO,AS,40,800,83.26501457214356,100,cpu,pretrained
sop,SOP,100,ACO,AS,50,1000,83.1050260925293,100,cpu,pretrained
sop,SOP,100,ACO,AS,100,2000,82.71238380432129,100,cpu,pretrained
sop,SOP,100,DeepACO,AS,1,20,72.24962791442871,100,cpu,pretrained
sop,SOP,100,DeepACO,AS,10,200,70.98066337585449,100,cpu,pretrained
sop,SOP,100,DeepACO,AS,20,400,70.71502143859863,100,cpu,pretrained
sop,SOP,100,DeepACO,AS,30,600,70.57383613586425,100,cpu,pretrained
sop,SOP,100,DeepACO,AS,40,800,70.49945693969727,100,cpu,pretrained
sop,SOP,100,DeepACO,AS,50,1000,70.433134765625,100,cpu,pretrained
sop,SOP,100,DeepACO,AS,100,2000,70.34683822631835,100,cpu,pretrained
sop,SOP,100,ACO,Elitist,1,20,87.67262428283692,100,cpu,pretrained
sop,SOP,100,ACO,Elitist,10,200,85.41018585205079,100,cpu,pretrained
sop,SOP,100,ACO,Elitist,20,400,84.71554832458496,100,cpu,pretrained
sop,SOP,100,ACO,Elitist,30,600,84.00592887878418,100,cpu,pretrained
sop,SOP,100,ACO,Elitist,40,800,83.09530860900878,100,cpu,pretrained
sop,SOP,100,ACO,Elitist,50,1000,81.85586143493653,100,cpu,pretrained
sop,SOP,100,ACO,Elitist,100,2000,76.54824211120605,100,cpu,pretrained
sop,SOP,100,DeepACO,Elitist,1,20,72.24962791442871,100,cpu,pretrained
sop,SOP,100,DeepACO,Elitist,10,200,70.92851165771485,100,cpu,pretrained
sop,SOP,100,DeepACO,Elitist,20,400,70.57601070404053,100,cpu,pretrained
sop,SOP,100,DeepACO,Elitist,30,600,70.33866367340087,100,cpu,pretrained
sop,SOP,100,DeepACO,Elitist,40,800,70.0320679473877,100,cpu,pretrained
sop,SOP,100,DeepACO,Elitist,50,1000,69.69835720062255,100,cpu,pretrained
sop,SOP,100,DeepACO,Elitist,100,2000,68.76512905120849,100,cpu,pretrained
sop,SOP,100,ACO,MAX-MIN,1,20,87.67262428283692,100,cpu,pretrained
sop,SOP,100,ACO,MAX-MIN,10,200,85.40876487731934,100,cpu,pretrained
sop,SOP,100,ACO,MAX-MIN,20,400,84.70958572387696,100,cpu,pretrained
sop,SOP,100,ACO,MAX-MIN,30,600,84.20145263671876,100,cpu,pretrained
sop,SOP,100,ACO,MAX-MIN,40,800,84.0193701171875,100,cpu,pretrained
sop,SOP,100,ACO,MAX-MIN,50,1000,83.94504714965821,100,cpu,pretrained
sop,SOP,100,ACO,MAX-MIN,100,2000,83.54075866699219,100,cpu,pretrained
sop,SOP,100,DeepACO,MAX-MIN,1,20,72.24962791442871,100,cpu,pretrained
sop,SOP,100,DeepACO,MAX-MIN,10,200,70.91971809387206,100,cpu,pretrained
sop,SOP,100,DeepACO,MAX-MIN,20,400,70.59077972412109,100,cpu,pretrained
sop,SOP,100,DeepACO,MAX-MIN,30,600,70.41187255859376,100,cpu,pretrained
sop,SOP,100,DeepACO,MAX-MIN,40,800,70.28397682189942,100,cpu,pretrained
sop,SOP,100,DeepACO,MAX-MIN,50,1000,70.23614913940429,100,cpu,pretrained
sop,SOP,100,DeepACO,MAX-MIN,100,2000,69.97806850433349,100,cpu,pretrained
