problem,problem_display,scale,algorithm,variant,t_aco,evaluations,avg_obj,instances,device,source
cvrp,CVRP,100,ACO,Elitist,50,1000,29.3827693939209,100,cpu,pretrained
cvrp,CVRP,100,ACO,Elitist,100,2000,22.17904483795166,100,cpu,pretrained
cvrp,CVRP,100,DeepACO,Elitist,1,20,16.2570175075531,100,cpu,pretrained
cvrp,CVRP,100,DeepACO,Elitist,10,200,15.663864011764526,100,cpu,pretrained
cvrp,CVRP,100,DeepACO,Elitist,20,400,15.469135904312134,100,cpu,pretrained
cvrp,CVRP,100,DeepACO,Elitist,30,600,15.310177345275878,100,cpu,pretrained
cvrp,CVRP,100,DeepACO,Elitist,40,800,15.144378910064697,100,cpu,pretrained
cvrp,CVRP,100,DeepACO,Elitist,50,1000,14.986865940093994,100,cpu,pretrained
cvrp,CVRP,100,DeepACO,Elitist,100,2000,14.546076459884643,100,cpu,pretrained
cvrp,CVRP,100,ACO,MAX-MIN,1,20,37.32824241638183,100,cpu,pretrained
cvrp,CVRP,100,ACO,MAX-MIN,10,200,35.42689811706543,100,cpu,pretrained
cvrp,CVRP,100,ACO,MAX-MIN,20,400,34.76717437744141,100,cpu,pretrained
cvrp,CVRP,100,ACO,MAX-MIN,30,600,34.41311239242554,100,cpu,pretrained
cvrp,CVRP,100,ACO,MAX-MIN,40,800,34.1714665222168,100,cpu,pretrained
cvrp,CVRP,100,ACO,MAX-MIN,50,1000,34.071884346008304,100,cpu,pretrained
cvrp,CVRP,100,ACO,MAX-MIN,100,2000,33.686580390930175,100,cpu,pretrained
cvrp,CVRP,100,DeepACO,MAX-MIN,1,20,16.254751558303834,100,cpu,pretrained
cvrp,CVRP,100,DeepACO,MAX-MIN,10,200,15.671996240615846,100,cpu,pretrained
cvrp,CVRP,100,DeepACO,MAX-MIN,20,400,15.494752359390258,100,cpu,pretrained
cvrp,CVRP,100,DeepACO,MAX-MIN,30,600,15.396073541641236,100,cpu,pretrained
cvrp,CVRP,100,DeepACO,MAX-MIN,40,800,15.31482738494873,100,cpu,pretrained
cvrp,CVRP,100,DeepACO,MAX-MIN,50,1000,15.212635183334351,100,cpu,pretrained
cvrp,CVRP,100,DeepACO,MAX-MIN,100,2000,15.024726610183716,100,cpu,pretrained
cvrp,CVRP,500,ACO,AS,1,20,187.28272674560546,100,cpu,pretrained
cvrp,CVRP,500,ACO,AS,10,200,182.37990112304686,100,cpu,pretrained
cvrp,CVRP,500,ACO,AS,20,400,179.45053466796875,100,cpu,pretrained
cvrp,CVRP,500,ACO,AS,30,600,174.4090690612793,100,cpu,pretrained
cvrp,CVRP,500,ACO,AS,40,800,159.64252410888673,100,cpu,pretrained
cvrp,CVRP,500,ACO,AS,50,1000,133.0644270324707,100,cpu,pretrained
cvrp,CVRP,500,ACO,AS,100,2000,85.42221656799316,100,cpu,pretrained
cvrp,CVRP,500,DeepACO,AS,1,20,66.45560485839843,100,cpu,pretrained
cvrp,CVRP,500,DeepACO,AS,10,200,64.86176876068116,100,cpu,pretrained
cvrp,CVRP,500,DeepACO,AS,20,400,64.13095127105713,100,cpu,pretrained
cvrp,CVRP,500,DeepACO,AS,30,600,63.55128288269043,100,cpu,pretrained
cvrp,CVRP,500,DeepACO,AS,40,800,63.126443977355954,100,cpu,pretrained
cvrp,CVRP,500,DeepACO,AS,50,1000,62.87994674682617,100,cpu,pretrained
cvrp,CVRP,500,DeepACO,AS,100,2000,62.46413516998291,100,cpu,pretrained
cvrp,CVRP,500,ACO,Elitist,1,20,187.75539276123047,100,cpu,pretrained
cvrp,CVRP,500,ACO,Elitist,10,200,182.64196960449217,100,cpu,pretrained
cvrp,CVRP,500,ACO,Elitist,20,400,181.38756149291993,100,cpu,pretrained
cvrp,CVRP,500,ACO,Elitist,30,600,180.43457260131837,100,cpu,pretrained
cvrp,CVRP,500,ACO,Elitist,40,800,179.70215530395507,100,cpu,pretrained
cvrp,CVRP,500,ACO,Elitist,50,1000,177.88751449584962,100,cpu,pretrained
cvrp,CVRP,500,ACO,Elitist,100,2000,112.01542587280274,100,cpu,pretrained
cvrp,CVRP,500,DeepACO,Elitist,1,20,66.41868934631347,100,cpu,pretrained
cvrp,CVRP,500,DeepACO,Elitist,10,200,65.48615665435791,100,cpu,pretrained
cvrp,CVRP,500,DeepACO,Elitist,20,400,65.05394351959228,100,cpu,pretrained
cvrp,CVRP,500,DeepACO,Elitist,30,600,64.76046146392822,100,cpu,pretrained
cvrp,CVRP,500,DeepACO,Elitist,40,800,64.37737987518311,100,cpu,pretrained
cvrp,CVRP,500,DeepACO,Elitist,50,1000,63.865634727478025,100,cpu,pretrained
cvrp,CVRP,500,DeepACO,Elitist,100,2000,62.74515964508057,100,cpu,pretrained
cvrp,CVRP,500,ACO,MAX-MIN,1,20,187.3854707336426,100,cpu,pretrained
cvrp,CVRP,500,ACO,MAX-MIN,10,200,183.07839096069335,100,cpu,pretrained
cvrp,CVRP,500,ACO,MAX-MIN,20,400,181.72558471679687,100,cpu,pretrained
cvrp,CVRP,500,ACO,MAX-MIN,30,600,180.86311477661133,100,cpu,pretrained
