problem,problem_display,scale,algorithm,variant,t_aco,evaluations,avg_obj,instances,device,source
smtwtp,SMTWTP,100,ACO,Elitist,1,20,30.890869612693788,100,cpu,pretrained
smtwtp,SMTWTP,100,ACO,Elitist,10,200,21.197825236320497,100,cpu,pretrained
smtwtp,SMTWTP,100,ACO,Elitist,20,400,19.464162334095455,100,cpu,pretrained
smtwtp,SMTWTP,100,ACO,Elitist,30,600,18.06354607213638,100,cpu,pretrained
smtwtp,SMTWTP,100,ACO,Elitist,40,800,16.70068464640877,100,cpu,pretrained
smtwtp,SMTWTP,100,ACO,Elitist,50,1000,15.576132301579928,100,cpu,pretrained
smtwtp,SMTWTP,100,ACO,Elitist,100,2000,10.43803695086739,100,cpu,pretrained
smtwtp,SMTWTP,100,DeepACO,Elitist,1,20,0.31903436106164007,100,cpu,pretrained
smtwtp,SMTWTP,100,DeepACO,Elitist,10,200,0.26739878124091776,100,cpu,pretrained
smtwtp,SMTWTP,100,DeepACO,Elitist,20,400,0.254577919091098,100,cpu,pretrained
smtwtp,SMTWTP,100,DeepACO,Elitist,30,600,0.25178022413980217,100,cpu,pretrained
smtwtp,SMTWTP,100,DeepACO,Elitist,40,800,0.2502181605016813,100,cpu,pretrained
smtwtp,SMTWTP,100,DeepACO,Elitist,50,1000,0.2502181605016813,100,cpu,pretrained
smtwtp,SMTWTP,100,DeepACO,Elitist,100,2000,0.249141109935008,100,cpu,pretrained
smtwtp,SMTWTP,100,ACO,MAX-MIN,1,20,30.890869612693788,100,cpu,pretrained
smtwtp,SMTWTP,100,ACO,MAX-MIN,10,200,20.96438879132271,100,cpu,pretrained
smtwtp,SMTWTP,100,ACO,MAX-MIN,20,400,19.27280129045248,100,cpu,pretrained
smtwtp,SMTWTP,100,ACO,MAX-MIN,30,600,18.365971930921077,100,cpu,pretrained
smtwtp,SMTWTP,100,ACO,MAX-MIN,40,800,17.425904740691184,100,cpu,pretrained
smtwtp,SMTWTP,100,ACO,MAX-MIN,50,1000,16.918709861636163,100,cpu,pretrained
smtwtp,SMTWTP,100,ACO,MAX-MIN,100,2000,14.78742530360818,100,cpu,pretrained
smtwtp,SMTWTP,100,DeepACO,MAX-MIN,1,20,0.31903436106164007,100,cpu,pretrained
smtwtp,SMTWTP,100,DeepACO,MAX-MIN,10,200,0.26730677659157664,100,cpu,pretrained
smtwtp,SMTWTP,100,DeepACO,MAX-MIN,20,400,0.26135662584099917,100,cpu,pretrained
smtwtp,SMTWTP,100,DeepACO,MAX-MIN,30,600,0.25737906826194373,100,cpu,pretrained
smtwtp,SMTWTP,100,DeepACO,MAX-MIN,40,800,0.2554913611477241,100,cpu,pretrained
smtwtp,SMTWTP,100,DeepACO,MAX-MIN,50,1000,0.2530073781078681,100,cpu,pretrained
smtwtp,SMTWTP,100,DeepACO,MAX-MIN,100,2000,0.24925513645168393,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,AS,1,20,1062.0386541748046,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,AS,10,200,928.9771453857422,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,AS,20,400,889.2166986083985,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,AS,30,600,865.5968237304687,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,AS,40,800,848.7771215820312,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,AS,50,1000,830.1470904541015,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,AS,100,2000,646.9464532470703,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,AS,1,20,1.206546497810632,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,AS,10,200,0.787716089959722,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,AS,20,400,0.7055965511756949,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,AS,30,600,0.6479438245925121,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,AS,40,800,0.6259691821644082,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,AS,50,1000,0.6217828114773147,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,AS,100,2000,0.6053761093015783,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,Elitist,1,20,1062.0386541748046,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,Elitist,10,200,924.104990234375,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,Elitist,20,400,885.3485369873047,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,Elitist,30,600,862.3594598388672,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,Elitist,40,800,855.9459957885742,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,Elitist,50,1000,847.6867037963867,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,Elitist,100,2000,773.1515795898438,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,Elitist,1,20,1.206546497810632,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,Elitist,10,200,0.8673056359379552,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,Elitist,20,400,0.7611187436454929,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,Elitist,30,600,0.6856481945910491,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,Elitist,40,800,0.6613180912355893,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,Elitist,50,1000,0.6402462649368681,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,Elitist,100,2000,0.5859004411823117,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,MAX-MIN,1,20,1062.0386541748046,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,MAX-MIN,10,200,922.4109039306641,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,MAX-MIN,20,400,884.3069744873047,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,MAX-MIN,30,600,862.0557373046875,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,MAX-MIN,40,800,850.4264129638672,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,MAX-MIN,50,1000,838.8733380126953,100,cpu,pretrained
smtwtp,SMTWTP,500,ACO,MAX-MIN,100,2000,812.463401184082,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,MAX-MIN,1,20,1.206546497810632,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,MAX-MIN,10,200,0.8021918173716404,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,MAX-MIN,20,400,0.6934766069485341,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,MAX-MIN,30,600,0.6614615896868054,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,MAX-MIN,40,800,0.6405044949415606,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,MAX-MIN,50,1000,0.6149827616839321,100,cpu,pretrained
smtwtp,SMTWTP,500,DeepACO,MAX-MIN,100,2000,0.5918916610372252,100,cpu,pretrained
