problem,problem_display,scale,algorithm,variant,t_aco,evaluations,avg_obj,instances,device,source
mkp,MKP,500,DeepACO,Elitist,10,200,99.55787866592408,100,cpu,pretrained
mkp,MKP,500,DeepACO,Elitist,20,400,99.81810525894166,100,cpu,pretrained
mkp,MKP,500,DeepACO,Elitist,30,600,100.04759130477905,100,cpu,pretrained
mkp,MKP,500,DeepACO,Elitist,40,800,100.42431982040405,100,cpu,pretrained
mkp,MKP,500,DeepACO,Elitist,50,1000,100.75389198303223,100,cpu,pretrained
mkp,MKP,500,DeepACO,Elitist,100,2000,102.30450649261475,100,cpu,pretrained
mkp,MKP,500,ACO,MAX-MIN,1,20,70.59069664955139,100,cpu,pretrained
mkp,MKP,500,ACO,MAX-MIN,10,200,73.68629759788513,100,cpu,pretrained
mkp,MKP,500,ACO,MAX-MIN,20,400,74.64744683265685,100,cpu,pretrained
mkp,MKP,500,ACO,MAX-MIN,30,600,75.09139238357544,100,cpu,pretrained
mkp,MKP,500,ACO,MAX-MIN,40,800,75.43006227493287,100,cpu,pretrained
mkp,MKP,500,ACO,MAX-MIN,50,1000,75.7013882446289,100,cpu,pretrained
mkp,MKP,500,ACO,MAX-MIN,100,2000,76.25278755187988,100,cpu,pretrained
mkp,MKP,500,DeepACO,MAX-MIN,1,20,98.42076782226563,100,cpu,pretrained
mkp,MKP,500,DeepACO,MAX-MIN,10,200,99.52693650245666,100,cpu,pretrained
mkp,MKP,500,DeepACO,MAX-MIN,20,400,99.86437525749207,100,cpu,pretrained
mkp,MKP,500,DeepACO,MAX-MIN,30,600,100.01427355766296,100,cpu,pretrained
mkp,MKP,500,DeepACO,MAX-MIN,40,800,100.1113812160492,100,cpu,pretrained
mkp,MKP,500,DeepACO,MAX-MIN,50,1000,100.18148830413818,100,cpu,pretrained
mkp,MKP,500,DeepACO,MAX-MIN,100,2000,100.35938013076782,100,cpu,pretrained
