problem,problem_display,scale,algorithm,variant,t_aco,evaluations,avg_obj,instances,device,source
pctsp,PCTSP,100,ACO,Elitist,30,600,39.881373748779296,100,cpu,pretrained
pctsp,PCTSP,100,ACO,Elitist,40,800,38.64412055969238,100,cpu,pretrained
pctsp,PCTSP,100,ACO,Elitist,50,1000,35.68602230072022,100,cpu,pretrained
pctsp,PCTSP,100,ACO,Elitist,100,2000,25.598982315063477,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,Elitist,1,20,9.903290748596191,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,Elitist,10,200,9.264558219909668,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,Elitist,20,400,9.140143728256225,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,Elitist,30,600,9.072749156951904,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,Elitist,40,800,9.038213787078858,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,Elitist,50,1000,9.017917737960815,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,Elitist,100,2000,9.010858573913573,100,cpu,pretrained
pctsp,PCTSP,100,ACO,MAX-MIN,1,20,42.59277877807617,100,cpu,pretrained
pctsp,PCTSP,100,ACO,MAX-MIN,10,200,40.87913803100586,100,cpu,pretrained
pctsp,PCTSP,100,ACO,MAX-MIN,20,400,40.413239326477054,100,cpu,pretrained
pctsp,PCTSP,100,ACO,MAX-MIN,30,600,40.15971031188965,100,cpu,pretrained
pctsp,PCTSP,100,ACO,MAX-MIN,40,800,40.05498096466064,100,cpu,pretrained
pctsp,PCTSP,100,ACO,MAX-MIN,50,1000,39.98748882293701,100,cpu,pretrained
pctsp,PCTSP,100,ACO,MAX-MIN,100,2000,39.813350410461425,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,MAX-MIN,1,20,9.835919818878175,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,MAX-MIN,10,200,9.289467716217041,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,MAX-MIN,20,400,9.20431981086731,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,MAX-MIN,30,600,9.149024057388306,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,MAX-MIN,40,800,9.092529754638672,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,MAX-MIN,50,1000,9.026329708099365,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,MAX-MIN,100,2000,8.934750308990479,100,cpu,pretrained
pctsp,PCTSP,500,ACO,AS,1,20,189.7786018371582,100,cpu,pretrained
pctsp,PCTSP,500,ACO,AS,10,200,184.9798504638672,100,cpu,pretrained
pctsp,PCTSP,500,ACO,AS,20,400,182.0407292175293,100,cpu,pretrained
pctsp,PCTSP,500,ACO,AS,30,600,173.02117263793946,100,cpu,pretrained
pctsp,PCTSP,500,ACO,AS,40,800,148.40927825927736,100,cpu,pretrained
pctsp,PCTSP,500,ACO,AS,50,1000,104.85747329711914,100,cpu,pretrained
pctsp,PCTSP,500,ACO,AS,100,2000,39.76868751525879,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,AS,1,20,23.250219440460206,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,AS,10,200,21.815374774932863,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,AS,20,400,21.456634197235108,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,AS,30,600,21.249918842315672,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,AS,40,800,21.05354539871216,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,AS,50,1000,20.927861595153807,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,AS,100,2000,20.576739864349364,100,cpu,pretrained
pctsp,PCTSP,500,ACO,Elitist,1,20,189.7786018371582,100,cpu,pretrained
pctsp,PCTSP,500,ACO,Elitist,10,200,185.7211019897461,100,cpu,pretrained
pctsp,PCTSP,500,ACO,Elitist,20,400,184.7120054626465,100,cpu,pretrained
pctsp,PCTSP,500,ACO,Elitist,30,600,184.05204696655272,100,cpu,pretrained
pctsp,PCTSP,500,ACO,Elitist,40,800,183.5631883239746,100,cpu,pretrained
pctsp,PCTSP,500,ACO,Elitist,50,1000,181.19340408325195,100,cpu,pretrained
pctsp,PCTSP,500,ACO,Elitist,100,2000,85.23156700134277,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,Elitist,1,20,23.297916965484617,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,Elitist,10,200,22.1337957572937,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,Elitist,20,400,21.87788869857788,100,cpu,pretrained
